,0
266,-64316.86
267,-64720.11
268,-64063.383
269,-63838.26
270,-64488.695
271,-64674.25
272,-64614.32
273,-64605.062
274,-64744.54
275,-65023.926
276,-65276.91
277,-64637.53
278,-64577.68
279,-64606.547
280,-64494.9
281,-63864.57
282,-63254.664
283,-64286.33
284,-63639.2
285,-64952.77
286,-64910.285
287,-63815.535
288,-63912.797
289,-63658.03
290,-63621.53
291,-63513.844
292,-63865.04
293,-63370.51
294,-63849.95
295,-63379.17
296,-63598.113
297,-62814.176
298,-63951.863
299,-63901.875
300,-63320.883
301,-63524.93
302,-62259.047
303,-63679.492
304,-63026.047
305,-63203.414
306,-63181.836
307,-63453.117
308,-62979.812
309,-63311.773
310,-63172.098
311,-63467.094
312,-63271.746
313,-62885.19
314,-62713.24
315,-62965.54
316,-62853.918
317,-63339.406
318,-62553.637
319,-62261.895
320,-62794.746
321,-62759.25
322,-62760.914
323,-62454.44
324,-62714.65
325,-61896.83
326,-62526.98
327,-62704.46
328,-62326.934
329,-62044.664
330,-62339.367
331,-62389.938
332,-62089.41
333,-62469.605
334,-62044.504
335,-62599.184
336,-62205.066
337,-62321.68
338,-62264.61
339,-61316.633
340,-62104.906
341,-61871.938
342,-62236.062
343,-61984.547
344,-62145.242
345,-61715.305
346,-61791.453
347,-61836.54
348,-62519.387
349,-62221.01
350,-61234.566
351,-61266.1
352,-61996.59
353,-61241.46
354,-61213.75
355,-62390.02
356,-61678.797
357,-62173.383
358,-61974.348
359,-60901.25
360,-61717.805
361,-61718.434
